id	name	barcode	instr_id	instrument_name	state	created_by	created_at
603	110127_h239_0106_A819M9ABXX	819M9	8942	h239	Completed	38	2011-01-31 09:53:37-05
361	solid0075_20100412_1_100ng_TOV_WT_BC_C	361	2830	a075	Completed	31	2010-04-21 11:31:24-04
300	solid0035_20100120_mouse_x_fc2	300	2834	a035	Completed	10	2010-01-27 17:35:22-05
269	solid0139_20091223_RatMP_QC	269	2832	a139	Completed	31	2009-12-24 11:53:36-05
270	solid0075_20091223_2_ICGC_smRNA	270	2830	a075	Completed	31	2009-12-24 13:41:50-05
279	solid0035_20091223_4911CL_WT	279	2834	a035	Completed	31	2010-01-04 14:51:19-05
302	solid0056_20100120_4388_PE_FC2	302	2829	a056	Completed	10	2010-01-27 17:41:20-05
299	solid0035_20100120_mousex	299	2834	a035	Completed	10	2010-01-27 17:26:21-05
301	solid0056_20100120_4388_PE	301	2829	a056	Completed	10	2010-01-27 17:39:21-05
278	solid0035_20091223_4060sm_4535sm_Hyp	278	2834	a035	Completed	31	2010-01-04 14:49:02-05
268	solid0037_20091221_hypoxia6_9	268	100	a037	Completed	31	2009-12-22 17:49:08-05
286	2009_11_30__panc-cell_lines	286	3290	heliscope	Completed	15	2010-01-13 15:21:41-05
267	solid0075_20091221_4060WT_4535WT	267	2830	a075	Completed	31	2009-12-22 17:47:53-05
285	100841	285	100	a037	Failed	15	2010-01-13 07:43:03-05
266	solid0035_4060sm_4535sm_hypoxia_	266	2834	a035	Failed	15	2009-12-21 17:58:06-05
271	solid0037_20091223_4636WT_4060WT	271	100	a037	Failed	31	2009-12-24 13:44:19-05
231	solid0075_20091027_1_4388XE	231	2830	a075	Completed	31	2009-11-03 17:22:11-05
234	solid0035_20091027_4388PE	234	2834	a035	Completed	31	2009-11-03 17:26:21-05
233	solid0035_20091027_4388PW	233	2834	a035	Completed	31	2009-11-03 17:25:25-05
235	solid0037_20091028_1_4388XE	235	100	a037	Completed	31	2009-11-03 17:27:55-05
238	solid0037_20091021_2_MAB_MSH_4535_2557	238	100	a037	Completed	15	2009-11-08 14:43:24-05
243	solid0075_20091110_agilent_exome	243	2830	a075	Completed	15	2009-11-19 10:01:00-05
228	Solid0085_20091021_1_CRL2547_MP	228	2831	a085	Failed	15	2009-10-27 09:02:53-04
245	solid0085_20091112_100ngWT_1_4	245	2831	a085	Completed	15	2009-11-19 11:01:19-05
244	solid0035_20091112_100ngWT_5_8	244	2834	a035	Completed	15	2009-11-19 11:00:21-05
232	solid0075_20091028_2_4388PE	232	2830	a075	Completed	31	2009-11-03 17:23:33-05
237	solid0085_20091105_100ng_WT_test	237	2831	a085	Completed	15	2009-11-08 14:31:08-05
218	solid0035_20091008_1_TOV_MP	218	2834	a035	Completed	31	2009-10-08 17:26:42-04
222	solid0151_20091021_2_moffat_2nd	222	2833	a151	Completed	31	2009-10-21 16:11:23-04
226	solid0037_20091016_1_4388XE_2nd	226	100	a037	Completed	15	2009-10-26 15:39:31-04
227	Solid0035_20091021_2_4388PE	227	2834	a035	Completed	15	2009-10-27 08:28:56-04
210	solid0075_20091002_shearedMP_celllines_FC1	210	2830	a075	Completed	31	2009-10-06 11:19:08-04
236	solid0085_20091028_2_4388PW	236	2831	a085	Completed	31	2009-11-03 17:29:12-05
599	110111_SN203_0095_A816VMABXX	816VM	8940	h203	Completed	15	2011-01-12 16:07:49-05
216	solid0037_20091006_2_4388XE	216	100	a037	Completed	31	2009-10-08 17:23:47-04
220	solid0085_20091009_LNCaP	220	2831	a085	Completed	31	2009-10-14 11:31:15-04
214	SOLiD0056_20091006_1_4388PW	214	2829	a056	Completed	10	2009-10-07 16:06:35-04
217	solid0151_20091008_1_OV_MP	217	2833	a151	Completed	31	2009-10-08 17:25:49-04
199	solid0037_20090923_Nazar	199	100	a037	Completed	31	2009-09-23 11:16:23-04
215	solid0085_20091007_1_4388PE	215	2831	a085	Completed	31	2009-10-08 17:22:56-04
193	solid0075_20090911_100ng_smRNA	193	2830	a075	Completed	31	2009-09-11 16:01:40-04
194	solid0037_20090911_1837WT_ribo_polyA	194	100	a037	Completed	15	2009-09-17 17:20:50-04
196	solid0085_20090921_moffat_Panclines	196	2831	a085	Completed	31	2009-09-21 16:21:03-04
192	solid0037_20090904_1682WT_ribo_polyA	192	100	a037	Completed	31	2009-09-11 15:04:42-04
198	solid0085_20090904_ov_tov_2547_2557	198	2831	a085	Completed	31	2009-09-22 13:56:05-04
177	solid0075_20090723_Panc1005_2x50	177	2830	a075	Failed	10	2009-07-23 19:54:13-04
208	091005_I280_42NWM_MMM	208	2825	i280	Completed	34	2009-10-05 14:23:43-04
1275	130109_M00146_0007_000000000-A2BA4	A2BA4	28979	m146	Failed	24	2013-01-10 16:27:56-05
1198	121026_M00753_0008_000000000-A1UJH	A1UJH	55199	m753	Failed	24	2012-10-31 11:36:01-04
834	110927_SN804_0068_AD083MACXX	D083M	18186	h804	Completed	24	2011-09-28 11:25:51-04
902	120116_M00146_0022_AMS0004905-00300	AMS0004905	28979	m146	Completed	24	2012-01-27 13:39:05-05
960	120329_M00146_0038_AMS0009470-00300	AMS0009470	28979	m146	Completed	24	2012-03-29 15:40:53-04
983	120425_SN1080_0105_AC0TKMACXX	C0TKM	29089	h1080	Completed	24	2012-04-30 14:58:52-04
1003	120504_M00146_0043_AMS0009676-00300	AMS0009676	28979	m146	Completed	24	2012-05-22 13:28:42-04
1010	120529_SN7001205_0082_BC0W00ACXX	C0W00	49099	h1205	Completed	24	2012-05-30 15:12:27-04
1018	120525_M00753_0002_A000000000-A0JJV	A000000000-A0JJV	55199	m753	Completed	24	2012-05-30 16:28:54-04
1074	120809_M00753_0016_A000000000-A1HEN	A1HEN	55199	m753	Completed	24	2012-08-09 16:54:25-04
1103	120828_M00146_0063_A000000000-A15H9	A15H9	28979	m146	Completed	24	2012-08-29 16:11:36-04
1110	120830_h239_0157_BD130DACXX	D130D	8942	h239	Completed	24	2012-09-04 12:54:00-04
1124	120907_M00146_0065_A000000000-A1PDT	A1PDT	28979	m146	Completed	24	2012-09-10 09:58:33-04
1137	120914_M00753_0025_A000000000-A1M5Y	A1M5Y	55199	m753	Completed	24	2012-09-14 12:46:01-04
1143	120914_SN7001179_0087_AD1823ACXX	D1823	44518	h1179	Completed	24	2012-09-17 14:41:55-04
1150	120922_M00146_0002_000000000-A1MHP	A1MHP	28979	m146	Completed	24	2012-09-25 08:48:20-04
1094	08252012-2	08252012-2 	29441	it1	Completed	38	2012-08-27 14:37:36-04
1252	121130_M000753_0022_000000000_A1UCY	A1UCY	55199	m753	Completed	38	2012-12-03 14:33:16-05
1261	121205_SN802_0099_BD1DDCACXX	D1DDC	18187	h802	Completed	24	2012-12-18 15:26:58-05
861	11-10-25_M00146_0011_A-A0819	A0819	28979	m146	Completed	24	2011-11-24 15:58:05-05
1326	130228_M00753_0038_000000000-A2P1N	A2P1N	55199	m753	Completed	24	2013-03-04 11:59:58-05
1075	120808_SN7001205_0087_BD0VGTACXX	D0VGT	49099	h1205	Failed	24	2012-08-10 10:14:24-04
362	solid0151_20100420_Total_vs_small_RNA	362	2833	a151	Completed	31	2010-04-21 11:37:51-04
325	solid0075_20100226_FC1_hypoxia1_to_4	325	2830	a075	Completed	31	2010-02-26 16:03:30-05
317	solid0056_20100211_H1LMP_FC2	317	2829	a056	Completed	10	2010-02-12 12:11:15-05
326	solid0075_20100226_FC2_hypoxia5_4060CL_ABcon	326	2830	a075	Completed	31	2010-02-26 16:16:45-05
316	solid0056_20100211_R1LMP_FC1	316	2829	a056	Completed	10	2010-02-12 12:09:07-05
305	solid0151_20100127_FC1_R1LMP	305	2833	a151	Completed	10	2010-01-29 10:05:36-05
352	solid0037_20100401_MouseX_LMP_FC1	352	100	a037	Completed	10	2010-04-05 09:30:50-04
353	solid0037_20100401_MouseX_LMP_FC2	353	100	a037	Completed	10	2010-04-05 09:32:35-04
350	solid0035_20100401_H2LMP_FC1	350	2834	a035	Completed	10	2010-04-05 09:13:57-04
351	solid0035_20100401_H2LMP_FC2	351	2834	a035	Completed	10	2010-04-05 09:16:31-04
306	solid0151_20100128_FC2_R1BLMP	306	2833	a151	Completed	10	2010-01-29 10:08:00-05
303	solid0139_20100208_H1ALMP	303	2832	a139	Completed	10	2010-01-29 10:00:17-05
304	solid0139_20100128_FC2_H1BLMP	304	2832	a139	Completed	10	2010-01-29 10:02:39-05
318	solid0037_20100211_4388_XE_FC1	318	100	a037	Completed	10	2010-02-12 12:13:38-05
319	solid0037_20100211_4388_XE_FC2	319	100	a037	Completed	10	2010-02-12 12:15:29-05
320	solid0035_20100211_4388PW_FC1	320	2834	a035	Completed	10	2010-02-12 12:17:37-05
321	solid0035_20100211_4388PW_FC2	321	2834	a035	Completed	10	2010-02-12 12:19:20-05
327	solid0035_20100226_MouseX_LMP_FC1	327	2834	a035	Completed	10	2010-03-03 09:36:26-05
333	solid0139_20100302_HW2_FC1	333	2832	a139	Completed	10	2010-03-03 09:56:17-05
334	solid0139_20100302_HW2_FC2	334	2832	a139	Completed	10	2010-03-03 09:58:13-05
328	solid0035_20100226_MouseX_LMP_FC2	328	2834	a035	Completed	10	2010-03-03 09:39:43-05
329	solid0151_20100226_H2LMP_FC1	329	2833	a151	Completed	10	2010-03-03 09:42:29-05
330	solid0151_20100226_H2LMP_FC2	330	2833	a151	Failed	10	2010-03-03 09:44:54-05
331	solid0037_20100302_HW1_FC1	331	100	a037	Failed	10	2010-03-03 09:48:40-05
332	solid0037_20100302_HW1_FC2	332	100	a037	Failed	10	2010-03-03 09:54:13-05
357	solid0075_21010412_10ug_TOV_WT_BC	357	2830	a075	Failed	31	2010-04-12 17:05:33-04
356	solid0075_20100412_1_100ng_TOV_WT_BC	356	2830	a075	Failed	31	2010-04-12 17:01:59-04
360	solid0085_20100419_2_10ug_TOV_WT_barcode	360	2831	a085	Completed	31	2010-04-20 11:09:41-04
359	solid0085_20100419_1_100ng_TOV_WT_barcode	359	2831	a085	Completed	31	2010-04-20 11:06:52-04
404	solid0085_20100701_STAM	404	2831	a085	Completed	31	2010-07-01 15:53:30-04
586	solid0085_20101125_OVCA_FRAG	586	2831	a085	Completed	15	2010-12-05 11:24:13-05
478	solid0075_20100902_FRAG_CIRM_2nd_6_9_11_12	478	2830	a075	Completed	15	2010-09-20 10:41:32-04
479	solid0075_20100910_FRAG_3rd_CIRM_6_9_11_12	479	2830	a075	Completed	15	2010-09-20 11:03:57-04
413	solid0075_20100720_DSN_WT	413	2830	a075	Completed	10	2010-07-20 15:30:51-04
1	100001	1			Failed	1	2008-07-17 11:32:56-04
2	_1	2			Failed	2	2008-08-07 12:46:26-04
852	111027_SN203_0127_BC08J8ACXX	C0858	8940	h203	Completed	24	2011-11-03 11:23:21-04
10	FC30K93	FC30K93			Failed	9	2008-10-28 15:35:53-04
309	100129_I278_616Y3_AW	309	2824	i278	Completed	31	2010-01-29 15:58:14-05
308	100126_I581_6176EA_AW	308	2828	i581	Completed	31	2010-01-29 13:35:04-05
307	100126_I551_61771A_AW	307	3898	i1551	Completed	31	2010-01-29 11:37:05-05
363	100421_i277_614DG_LT	614DG	2823	i277	Completed	24	2010-04-21 15:51:28-04
298	100125_I320_6175FA_AW_2	298	2826	i320	Completed	31	2010-01-25 15:23:12-05
312	100201_i280_6175H_AW	6175H	2825	i280	Completed	24	2010-02-09 17:02:49-05
297	100125_I580_61710A_AW	297	2827	i580	Completed	31	2010-01-25 15:22:09-05
387	100607_i277_00007_61U9E_LT	61U9E	2823	i277	Completed	24	2010-06-09 11:20:15-04
288	100114_i280_61E1G	61E1G	2825	i280	Completed	24	2010-01-14 16:13:06-05
394	100616_i580_61UAF_AP_5	61UAF	2827	i580	Completed	24	2010-06-16 18:02:19-04
399	100622_I280_0007_6213F_AP	6213F	2825	i280	Completed	38	2010-06-22 17:17:58-04
287	100113_i320_61DWH_LT	61DWH	2826	i320	Completed	24	2010-01-13 16:11:18-05
290	100115_i278_61FW5_LT	61FW5	2824	i278	Completed	24	2010-01-15 12:43:59-05
289	100115_i1551_61FTP_AW	61FTP	3898	i1551	Completed	24	2010-01-15 12:37:40-05
480	solid0075_20100910_FRAG_CRIM_2nd_13_14	480	2830	a075	Completed	15	2010-09-20 11:21:01-04
291	100120_i1280_61FTC_AW	61FTC	2825	i280	Completed	24	2010-01-20 16:24:59-05
295	100121_I581_6174UA_AW5	295	2828	i581	Completed	31	2010-01-21 15:14:34-05
296	100121_I277_6170T_AW	296	2823	i277	Completed	31	2010-01-21 15:18:14-05
283	100108_i581_613Y8_LT	613Y8	2828	i581	Completed	24	2010-01-08 17:04:03-05
284	100112_i580_61DWG_LT	61DWG	2827	i580	Completed	24	2010-01-12 15:49:27-05
281	100104_i277_435FD_LT	435FD	2823	i277	Completed	24	2010-01-06 09:41:29-05
277	091228_i277_4337L_LT	4337L	2823	i277	Completed	24	2009-12-28 17:34:45-05
282	100108_i1551_613G7_LT	613G7	3898	i1551	Completed	24	2010-01-08 16:51:15-05
292	100121_I581_6174UA_AW	292	2828	i581	Failed	31	2010-01-21 14:47:55-05
293	100121_I581_6174UA_AW2	293	2828	i581	Failed	31	2010-01-21 15:06:47-05
51	Getting_rid_of_reactions	xxx			Failed	24	2009-03-28 14:54:38-04
294	100121_I581_6174UA_AW3	294	2828	i581	Failed	31	2010-01-21 15:08:03-05
257	091211_i095_4338W_LT	4338W	99	i095	Completed	24	2009-12-11 11:40:55-05
260	091214_i278_616JH_LT	616JH	2824	i278	Completed	24	2009-12-15 16:11:31-05
259	091214_i1551_612FB_LT	612FB	3898	i1551	Completed	24	2009-12-15 16:09:25-05
262	091214_i580_616JN_LT	616JN	2827	i580	Completed	24	2009-12-15 16:20:37-05
258	091214_i280_616K6_LT	616K6	2825	i280	Completed	24	2009-12-15 16:06:11-05
434	solid0075_20100811_FRAG_RAT220bp	434	2830	a075	Completed	10	2010-08-16 15:40:28-04
447	solid0085_20100826_PE_PCSI_8X_170bp	447	2831	a085	Completed	10	2010-08-27 11:17:11-04
448	solid0085_20100826_PE_rat215bp	448	2831	a085	Completed	10	2010-08-27 11:25:55-04
264	091216_i320_61AK2_LT	61AK2	2826	i320	Completed	24	2009-12-17 11:21:10-05
261	091214_i277_61AML_LT	61AML	2823	i277	Completed	24	2009-12-15 16:15:38-05
276	091228_i581_61AK5_LT	61AK5	2828	i581	Completed	24	2009-12-28 17:29:53-05
272	091228_i278_61DVC_LT	61DVC	2824	i278	Completed	24	2009-12-28 16:57:28-05
274	091228_i320_61AKR_LT	61AKR	2826	i320	Completed	24	2009-12-28 17:07:55-05
275	091228_i580_61E0C_LT	61E0C	2827	i580	Completed	24	2009-12-28 17:26:51-05
471	solid0085_20100910_FRAG_BC_OVCA_9to11	470-2	2831	a085	Completed	15	2010-09-16 08:05:51-04
435	solid0075_FRAG_CIRM_1_6to10	435	2830	a075	Completed	31	2010-08-19 10:54:06-04
436	solid0075_FRAG_CIRM_2_11to14	436	2830	a075	Completed	31	2010-08-19 10:56:21-04
273	091228_i280_61DL9_LT	61DL9	2825	i280	Completed	24	2009-12-28 17:05:08-05
